16-03-2024,21:20:19;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:21:23;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:21:58;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:47:59;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:48:45;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:50:25;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:51:11;SEND_DATA;PRE-0-O;NONE
16-03-2024,21:54:03;SEND_DATA;PRE-0-O;NONE
16-03-2024,22:34:59;SEND_DATA;PRE-0-O;NONE
16-03-2024,22:37:57;SEND_DATA;PRE-0-O;NONE
16-03-2024,22:39:48;SEND_DATA;PRE-0-O;NONE
16-03-2024,22:49:10;SEND_DATA;PRE-0-O;NONE
16-03-2024,22:56:06;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:01:33;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:09:40;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:13:08;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:23:08;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:47:37;SEND_DATA;PRE-0-O;NONE
16-03-2024,23:47:57;SEND_DATA;HUM-0-I;NONE
17-03-2024,12:01:33;SEND_DATA;PRE-0-O;12345
17-03-2024,12:04:55;SEND_DATA;PRE-0-O;NONE
17-03-2024,12:06:10;SEND_DATA;HUM-0-I;9999
17-03-2024,13:22:14;SEND_DATA;HUM-0-O;8888
17-03-2024,16:12:34;SEND_DATA;PRE-0-O;1234
18-03-2024,10:52:57;SEND_DATA;PRE-0-O;55555
18-03-2024,17:57:03;GET_DATA;PRE-0-O;alumne
18-03-2024,17:58:54;GET_DATA;PRE-0-O;hol1
18-03-2024,18:00:52;GET_DATA;PRE-0-O;hol2
18-03-2024,18:03:27;GET_DATA;PRE-0-O;hol3
18-03-2024,18:06:31;GET_DATA;PRE-0-O;hol3
18-03-2024,18:09:28;GET_DATA;PRE-0-O;hol4
18-03-2024,18:13:22;GET_DATA;PRE-0-O;hol4
18-03-2024,18:28:38;SEND_DATA;PRE-0-O;NONE
18-03-2024,18:28:52;SEND_DATA;PRE-0-O;NONE
18-03-2024,18:29:15;GET_DATA;PRE-0-O;NONE
18-03-2024,18:30:36;GET_DATA;PRE-0-O;NONE
18-03-2024,18:33:37;GET_DATA;PRE-0-O;NONE
18-03-2024,18:35:27;GET_DATA;PRE-0-O;NONE
18-03-2024,18:37:03;GET_DATA;PRE-0-O;NONE
18-03-2024,18:42:26;GET_DATA;PRE-0-O;NONE
18-03-2024,18:44:33;GET_DATA;PRE-0-O;NONE
18-03-2024,22:21:45;GET_DATA;PRE-0-O;NONE
